"preset","siteId","service","kind","requestedHostname","currentHostname","browserStatus","visualNote","readyState","bodyTextLength","imageCount","completeImageCount","resourceCount","failedResourceCount","mainStatus","mainProtocol","mainTtfbMs","protocols","rootRoute","rootDns","rootMatchedRule","rootMatchedRuleSet","routeDecisions","dnsDecisions","ipFamilies","generationCount","mixedRouting","captureId"
"russia","alfa","Alfa-Bank","mandatory","alfabank.ru","chromewebdata","INCONCLUSIVE","Same Chrome TLS-chain failure as Direct and Global; not isolated to routing","complete","208","0","0","1","1","","UNKNOWN","","UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073650Z-b8079834"
"russia","vtb","VTB","mandatory","www.vtb.ru","www.vtb.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3726","57","23","118","10","200","http/1.1","277.93","http/1.1|UNKNOWN|h2","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT|REMOTE","IPv4","1","NO","20260731T073700Z-eedf8310"
"russia","gazprombank","Gazprombank","mandatory","www.gazprombank.ru","www.gazprombank.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","18430","107","107","395","10","200","h2","207.67","h2|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT|REMOTE","IPv4","1","NO","20260731T073712Z-9374c334"
"russia","raiffeisen","Raiffeisen","mandatory","www.raiffeisen.ru","www.raiffeisen.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2041","9","9","75","2","200","http/1.1","559.16","http/1.1|UNKNOWN|h2","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073727Z-71568363"
"russia","sovcombank","Sovcombank","mandatory","sovcombank.ru","sovcombank.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","6467","66","63","89","10","401","h2","98.59","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073740Z-b689f51d"
"russia","yandex","Yandex","mandatory","yandex.ru","dzen.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","7091","4","1","140","21","302","h2","10.47","h2|http/1.1|UNKNOWN","DIRECT","DIRECT","route[6]:route","zeon-ru-yandex","DIRECT","DIRECT","IPv4","1","NO","20260731T073751Z-31990ff8"
"russia","yandex_search","Yandex Search","mandatory","yandex.ru","yandex.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3534","2","2","276","9","302","h2","221.42","h2|http/1.1|UNKNOWN","DIRECT","DIRECT","route[6]:route","zeon-ru-yandex","DIRECT","DIRECT","IPv4","1","NO","20260731T095323Z-c0580e40"
"russia","yandex_maps","Yandex Maps","mandatory","yandex.ru","yandex.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","371","1","0","15","9","200","h2","1564.73","h2|UNKNOWN","DIRECT","DIRECT","route[6]:route","zeon-ru-yandex","DIRECT","DIRECT","IPv4","1","NO","20260731T073816Z-a95cf68e"
"russia","yandex_music","Yandex Music","mandatory","music.yandex.ru","music.yandex.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1217","16","16","226","10","200","h2","220.04","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[6]:route","zeon-ru-yandex","DIRECT","DIRECT","IPv4","1","NO","20260731T073828Z-996e8509"
"russia","kinopoisk","Kinopoisk","mandatory","www.kinopoisk.ru","www.kinopoisk.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","5361","133","64","168","9","302","h2","271.16","h2|http/1.1|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073841Z-5736b89e"
"russia","wildberries","Wildberries","mandatory","www.wildberries.ru","www.wildberries.ru","PASS WITH ANTI-BOT","Initial HTTP 498 observed; catalog, images and bootstrap then rendered","complete","8255","64","43","182","3","200","h3","98.44","h3|h2|UNKNOWN","DIRECT","DIRECT","route[7]:route","zeon-ru-wildberries","DIRECT","DIRECT","IPv4","1","NO","20260731T073904Z-32588b44"
"russia","ozon","Ozon","mandatory","www.ozon.ru","www.ozon.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1029","21","21","173","2","307","h2","125.11","h2|h3|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT|REMOTE","IPv4","1","NO","20260731T073916Z-84585384"
"russia","avito","Avito","mandatory","www.avito.ru","m.avito.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1829","26","26","215","59","301","h2","165.63","h2|UNKNOWN|http/1.1|h3","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT|REMOTE","IPv4","1","NO","20260731T073927Z-4ee3746c"
"russia","megamarket","Megamarket","mandatory","megamarket.ru","megamarket.ru","PASS WITH ANTI-BOT","Visual slider/picture anti-bot challenge; page shell rendered","complete","161","1","1","39","12","200","h2","124.75","h2|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073943Z-f16e7c54"
"russia","yandex_market","Yandex Market","mandatory","market.yandex.ru","market.yandex.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3195","62","54","282","4","200","h2","274.06","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[6]:route","zeon-ru-yandex","DIRECT","DIRECT","IPv4","1","NO","20260731T073954Z-3429e4e1"
"russia","vk","VK","mandatory","vk.com","m.vk.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","242","1","1","194","16","301","h2","111.24","h2|UNKNOWN","DIRECT","REMOTE","route[9]:route","zapret-ru-ip","DIRECT","REMOTE|DIRECT","IPv4","1","NO","20260731T074006Z-d53ee489"
"russia","mail","Mail.ru","mandatory","mail.ru","mail.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2346","6","1","55","24","200","h2","215.8","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T074019Z-21849934"
"russia","ok","OK","mandatory","ok.ru","ok.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","256","17","1","378","9","200","h2","652.45","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T074032Z-0e2b4700"
"russia","dzen","Dzen","mandatory","dzen.ru","dzen.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","4665","3","1","122","14","200","http/1.1","235.61","http/1.1|UNKNOWN|h2","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T095338Z-9a014807"
"russia","twogis","2GIS","mandatory","2gis.ru","2gis.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1253","3","3","98","29","200","h2","292.62","h2|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT|REMOTE","IPv4","1","NO","20260731T074059Z-7746135e"
"russia","rutube","Rutube","mandatory","rutube.ru","rutube.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","15836","484","215","271","24","200","h2","139.45","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T074112Z-a692684e"
"russia","rustore","RuStore","mandatory","www.rustore.ru","www.rustore.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","12057","419","98","149","4","200","h2","190.48","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T074130Z-05de5e0b"
